Urdu,English
السلام علیکم,Peace be upon you
شکریہ,thank you
معاف کرنا,to forgive
براہ کرم,please
ٹھیک ہے,ok
خدا حافظ,God bless
جی ہاں,yes
جی نہیں,"Yes, no"
خوش آمدید,welcome
ماں,mother
باپ,father
بھائی,brother
بہن,sister
دادا,grandfather
دادی,Grandmother
بیٹا,son
بیٹی,daughter
چچا,uncle
خالہ,aunt
کھانا,food
پانی,The water
سونا,to sleep
جاگنا,to wake up
کام,work
پڑھنا,reading
کھیلنا,to play
چلنا,to walk
بیٹھنا,to sit down
بولنا,to speak
کتاب,The book
قلم,pen
کرسی,The chair
میز,The table
دروازہ,the door
کھڑکی,the window
جوتے,shoes
کپڑے,clothes
بستر,the bed
گلاس,Glass
ایک,one
دو,two
تین,Three
چار,Four
پانچ,Five
چھ,Six
سات,Seven
آٹھ,Eight
نو,Nine
دس,Ten
وقت,time
دن,day
رات,the night
صبح,in the morning
شام,the evening
خوش,happy
اداس,sad
غصہ,anger
محبت,love
بھوک,hunger
پیاس,Thirst
تھکن,exhaustion
سکون,Peace of mind
درد,pain
خوشبو,the fragrance
گھر,home
سکول,School
مسجد,The mosque
بازار,The market
دکان,shop
دفتر,Office
پارک,Park
شہر,The city
گاوں,village
سڑک,the road
لانا,to bring
جانا,to go
آنا,to come
دینا,to give
لینا,to take
کھانا,food
پینا,to drink
دیکھنا,to see
سننا,to listen
کرنا,to do
اچھا,good
برا,bad
چھوٹا,small
بڑا,big
خوبصورت,beautiful
بدصورت,ugly
سستا,cheap
مہنگا,Expensive
نرم,soft
سخت,tough
ہاں,yes
نہیں,No
کیوں,why
کیسے,how
کون,who